addicupo_state,remaining_addicupo,id
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,14807dc9-8eb1-4600-8f00-780434073fbb_103
AVAILABLE,3116424,14e409fd-c4d5-41b7-8a72-29dc84d812a8_103
AVAILABLE,1800000,14ff38c4-0373-4121-9b18-d165be7271d4_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,1503577f-8b71-4de7-80ca-a71648bea428_103
AVAILABLE,1799999.33,15045d12-12e2-4627-af45-a6fbd70ce617_103
AVAILABLE,1800000,1506abb9-1705-4dd6-a61f-eab91aae7b99_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,151750ca-edd2-41bc-9a85-7e97f41cdf3f_103
AVAILABLE,2295800,1533cdc9-588b-4500-bc67-7c72e1ad2e55_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,15388c9d-c448-4c27-bdfd-d05b050e433c_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,15b259da-c2e0-4ba3-b462-bdf97f5ad1bd_103
AVAILABLE,958358.875,160d31d6-8860-46b0-bb5e-3dc60e82caa1_103
AVAILABLE,727394.67,161ba24b-4571-45cc-ad21-1a9a85e2a4e0_103
AVAILABLE,600000,162152b4-b57d-49a8-9e82-ab0de0a5ef95_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,16256e7d-20b3-49d2-b61a-3bdefc07e91c_103
AVAILABLE,63904.01122,1630720c-d378-4627-ab81-dbc95105c03a_103
AVAILABLE,1082847.332,165f07dd-fadc-4180-918c-fb021f93914a_103
AVAILABLE,0,1662f3ef-ad2e-438e-8253-371ea9c6b207_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,1670fb36-0f34-438e-a81e-099387a644a8_103
AVAILABLE,996000,1685d64f-6250-4f3d-8d78-07b4a213208e_103
AVAILABLE,1823863.624,16b88a69-421f-4527-8460-65529dc2f026_103
AVAILABLE,1234442.934,16e2f76e-3370-42cf-b149-732c1e7eff1d_103
AVAILABLE,1800000,170927c5-d82b-45a8-8262-b7492b0907ea_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,1709c47b-5b02-4015-914b-4830a356fa12_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,1753502a-22b8-4daa-8c47-5ff1f13a424c_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,178b48e5-1b49-486e-9496-9f4d5548d116_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,178ce32b-9c90-4266-b85f-d760b797ada4_103
BLOCKED_BY_CONDONATION,0,179bc93a-af29-4a76-996f-f6e334ed72c4_103
AVAILABLE,2531207.352,17c31f24-60e1-485d-8bf6-15d8b66937fc_103
BLOCKED_BY_UNPAID_REFINANCING,0,17c78e82-beb9-4b30-bd13-ef04636233d7_103
AVAILABLE,1281511.91,17d71ab5-0bb4-4f1c-bec3-8d071ff0c39f_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,180cb5ec-ebdc-417a-917d-2e64e5add314_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,1828ac3f-3b1f-4588-aea2-6f7983a5e148_103
AVAILABLE,1800000,1828bedb-8ea7-49ae-9e96-7e4dab7ce9dd_103
AVAILABLE,1670020.652,183e0521-b521-49bd-8ebc-ce4705e9eb71_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,1843b8c8-367a-40df-af3f-618156c72534_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,18741822-1f0c-448b-a1cd-c451d6d1166d_103
AVAILABLE,0,187ccc2a-53d2-4b64-86a7-ede3c7f384cf_103
AVAILABLE,1350000,187e56bc-fb89-4021-bd71-6c292ffc411a_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,187fbda7-2648-4502-90ae-14014e9df187_103
BLOCKED_BY_FRAUD,0,18802925-ffae-4469-a9b5-d65426124c1f_103
AVAILABLE,1441094.597,188c0d89-4e93-45d7-a46f-b35629bee91e_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,18a0527b-f810-478a-8cd8-20fe13253262_103
AVAILABLE,1349999.996,18a7d2d7-085a-45e5-8e68-d98bff5771f5_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,18aab23a-e576-4bca-abc7-faca2a66a0dc_103
AVAILABLE,1706400,18b1de55-c702-4ca3-be8c-6fc5029566dc_103
AVAILABLE,1252072.611,19462824-d242-4fc8-b777-6d61647c83a6_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,195599a7-e2d5-487a-b654-ea599b01ea6c_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,19713387-3034-4b7e-a63d-76bb22113ca6_103
AVAILABLE,1799352.282,1975bbf0-00d4-4f57-8e40-ad87cc948c19_103
BLOCKED_BY_ECM_POLICY_MAX_ACTIVE_LOANS,0,199cb331-c9fc-4fe4-bc1c-91b13376701b_103
AVAILABLE,211630.4032,19a24f50-4f39-456f-a3ba-28f3e6e498e6_103
AVAILABLE,2539.217995,19bfc77e-e0ed-49f0-9c0c-cfc593f63b1c_103
AVAILABLE,1028108.787,19cfad3b-884f-4376-81c8-25ba3b46e4f3_103
